start_sec,end_sec,activity,duration
0.867,1.968,DIGGING,1.101
2.08,4.384,DIGGING,2.303
4.536,8.777,SWINGING,4.241
9.197,13.322,WAITING,4.124
13.548,15.013,SWINGING,1.465
15.181,16.253,WAITING,1.072
16.426,17.484,SWINGING,1.058
17.881,22.123,DUMPING,4.242
22.43,28.862,SWINGING,6.432
28.926,36.346,DIGGING,7.42
36.509,37.66,WAITING,1.15
37.66,46.459,DIGGING,8.799
46.89,49.019,WAITING,2.129
49.019,55.346,DIGGING,6.327
55.347,60.913,SWINGING,5.565
61.189,65.382,DUMPING,4.194
65.383,69.549,SWINGING,4.166
69.549,85.745,DIGGING,16.196
85.746,92.872,SWINGING,7.126
92.914,96.864,DUMPING,3.949
96.864,101.341,SWINGING,4.477
101.341,116.837,DIGGING,15.495
116.838,120.471,SWINGING,3.633
120.472,125.874,DUMPING,5.403
125.874,135.716,SWINGING,9.841
139.995,153.141,DIGGING,13.147
153.178,155.069,SWINGING,1.891
156.688,161.516,WAITING,4.828
161.78,162.177,WAITING,0.397
162.177,169.245,DUMPING,7.067
169.282,173.587,SWINGING,4.306
173.587,190.792,DIGGING,17.204
190.793,197.516,SWINGING,6.724
197.516,201.417,DUMPING,3.901
201.417,207.768,SWINGING,6.351
207.768,226.378,DIGGING,18.611
226.379,232.023,SWINGING,5.644
232.023,237.75,DUMPING,5.727
237.858,241.542,SWINGING,3.684
241.542,261.195,DIGGING,19.653
261.195,268.041,SWINGING,6.847
268.041,271.989,DUMPING,3.948
271.989,279.482,SWINGING,7.493
279.483,285.225,DIGGING,5.742
286.875,299.703,DIGGING,12.829
300.06,303.285,WAITING,3.225
303.412,303.83,WAITING,0.418
303.83,309.997,DUMPING,6.167
309.998,315.011,SWINGING,5.013
315.254,324.346,DIGGING,9.092
324.346,325.599,SWINGING,1.252
326.557,335.431,WAITING,8.874
335.432,341.02,SWINGING,5.588
341.02,345.272,DIGGING,4.253
345.273,352.091,SWINGING,6.818
353.139,370.868,DIGGING,17.729
370.868,377.631,SWINGING,6.763
377.632,380.435,DUMPING,2.803
380.435,386.004,SWINGING,5.569
